ds100,name,lat,lon,elevation_m
KJU,Jünkerath,50.3442027,6.5819431,433.0
KURF,Urft (Steinfeld),50.5121272,6.580502,407.0
RL,Ludwigshafen (Rhein) Hauptbahnhof,49.4775595,8.4341483,96.0
HBRT,Brettorf,52.9672622,8.4472985,44.0
DNR,Niederwiesa,50.8626144,13.0232008,293.0
DCHP,Chemnitz-Hilbersdorf,50.8619622,12.953824,326.0
DGLA,Glaubitz (Riesa),51.3172547,13.366139,101.0
TKO G,Korntal Gymnasium,48.8305386,9.1124214,315.0
RWBB,Wollbach (Baden),47.6682042,7.6486148,299.0
EVLR,Velbert Rosenhügel,51.3001241,7.1016897,191.0
HGKE,Ganderkesee,53.0353226,8.5432377,32.0
RKZ,Kirchzarten,47.967998,7.9592049,392.0
RWL,Wittlingen,47.6570009,7.6470097,289.0
RBU,Buchholz (Baden),48.0834769,7.9157916,239.0
RBLB,Bleibach,48.1238473,8.0047664,300.0
KKDZ,Köln Messe/Deutz,50.9409887,6.9751312,49.0
FWFK,Mainz-Waggonfabrik,50.014526,8.234574,94.0
MKIG,Kinding (Altmühltal),48.9915057,11.37816,373.0
TMOE,Mögglingen (Gmünd),48.8251115,9.9594009,427.0
TBB,Böbingen (Rems),48.8224381,9.9131756,382.0
TSG,Schwäbisch Gmünd,48.8010804,9.7879738,322.0
RFM,Forchheim (b Karlsruhe),48.964715,8.3387483,118.0
KHOG,Hohegrete,50.7648075,7.642297,178.0
KKLM,Kloster Marienthal,50.738744,7.6686902,259.0
WBTF,Broderstorf,54.0789529,12.2630166,43.0
FKRO,Kronberg,50.1798171,8.5170592,222.0
THOF,Hofen (bei Aalen),48.8727508,10.1144417,446.0
HBKH,Brakel(Höxter),51.7120317,9.1828619,144.0
NMI,Michelau (Oberfr),50.1550203,11.1160745,266.0
RBZB,Bad Bergzabern,49.1032382,8.0033719,169.0
FWI,Weiterstadt,49.909649,8.5797158,104.0
DIR,Irfersgrün,50.6086961,12.4095807,463.0
HBNT,Barnten,52.1952696,9.8148582,70.0
HHOL,Holtensen/Linderte,52.2719206,9.6532713,73.0
HELV,Völksen/Eldagsen,52.2118533,9.6255232,105.0
SUZD,Usch-Zendscheid,50.1027185,6.6026831,306.0
RN,Neustadt (Weinstraße) Hauptbahnhof,49.3495669,8.1403886,142.0
WSTS,Stechlinsee,53.149071,12.9855061,66.0
MFOS,Forsting,48.0817416,12.0918547,506.0
AOBG,Ottersberg,53.0969197,9.1337373,13.0
FLW,Riedstadt-Wolfskehlen,49.853985,8.4931074,89.0
WUD,Ducherow,53.7622878,13.7984274,9.0
EDTP,Dortmund Tierpark,51.4779586,7.4619583,118.0
EDLH,Dortmund-Löttringhausen,51.4514804,7.4474301,147.0
ASWA,Schwarzenbek,53.503774,10.484957,40.0
WBZ,Boizenburg (Elbe),53.378098,10.7541756,12.0
EARE,Ardey,51.4811705,7.727171,171.0
EBSP,Bösperde,51.4586107,7.7741918,128.0
EWIC,Wickede (Ruhr),51.4931771,7.8700197,140.0
EARB,Arnsberg (Westf),51.4054067,8.0675274,196.0
EBDL,Bredelar,51.4191449,8.7765176,292.0
EBRH,Beringhausen,51.4079606,8.7507044,310.0
EOLS,Olsberg,51.3607162,8.4832726,360.0
TMN,Münsingen,48.4095348,9.4902708,705.0
TSKS,Schalkstetten,48.6124482,9.9110469,690.0
LRN,Röblingen am See,51.4626576,11.6681651,98.0
FNU,Nauheim,49.9421179,8.4498641,89.0
HOLD,Oldenburg (Oldb) Hbf,53.144191,8.2231132,4.0
HBOE,Bad Oeynhausen Süd,52.1971738,8.8023074,78.0
HP,Peine,52.3189555,10.2306793,70.0
TERW,Ersingen West,48.931426,8.6339206,228.0
ESCF,Scheuerfeld (Sieg),50.7918022,7.8363148,177.0
URI,Ritschenhausen,50.5130353,10.4293656,316.0
FDOH,Groß-Gerau-Dornheim,49.8772745,8.4936902,89.0
NMER,Markt Erlbach,49.4922947,10.6591202,383.0
NHHF,Hardhof,49.4968673,10.7849969,313.0
NLZ,Langenzenn,49.4968259,10.8011193,304.0
NRAF,Raindorf,49.5042328,10.8458607,302.0
NPI,Pinzberg,49.6987807,11.0971907,268.0
HOCH,Westerstede-Ocholt,53.2021623,7.8867806,6.0
HZWI,Bad Zwischenahn,53.1824713,8.0037823,10.0
TKG,Kißlegg,47.7935805,9.8817723,649.0
WL,Ludwigslust,53.334718,11.4945852,35.0
WPRZ,Pritzier,53.3649145,11.0829878,19.0
RSLM,Salem,47.7577837,9.2972671,435.0
RAL,Albbruck,47.5923515,8.1320364,325.0
LMD,Muldenstein,51.6678336,12.3542629,91.0
LPT,Pratau,51.8428247,12.6350748,68.0
NC,Coburg,50.2627593,10.9575111,297.0
TLF,Leinfelden,48.6966965,9.1427508,429.0
DGHU,Glashütte (Sachs),50.8510981,13.7824845,323.0
DMHL,Mühlbach (Pirna),50.9142515,13.8187104,206.0
DDO,Dohna (Sachs),50.9612486,13.8555714,136.0
DOSC,Oberschlottwitz,50.8705513,13.814597,298.0
DNDS,Niederschlottwitz,50.8896095,13.8110306,242.0
DBWD,Burkhardswalde-Maxen,50.9251785,13.8384042,198.0
